,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_current_rules,gw_trigger_proposed_rules,gw_trigger_norm_dist,Ecology Index,Recreation Index,names
3029,91.7267088,49158348.47,49.15834847,0.932194256,0.571206084,0.728784029,0.067805744,44660.15507,0.630703237,0.676483198,1554266.237,129436.4772,3601362.203,1,0.356995467,0.48738245,0.044438825,0.451872628,0.765562741,best_case_rcp45_2016-2045 (usual)
3030,23.71209766,69372452.73,69.37245273,0.73303045,0.576484245,1.370901225,0.26696955,243801.1943,0.841893181,0.524590453,6832022.86,129436.4772,20264201.8,0.989254017,0.346272241,0.477572559,-0.039283504,0.380798829,0.725884839,best_case_rcp45_2016-2045 (usual)
3031,22.99058001,67912371.07,67.91237107,0.719202072,0.57480969,1.859935777,0.280797928,246160.134,1.312484802,0.490788235,16747051.28,129436.4772,27683146.36,1,0.398061701,0.551789459,0.373863313,0.407966291,0.744677822,best_case_rcp45_2016-2045 (usual)
3032,17.06863821,73236497.62,73.23649762,0.652439821,0.551936096,1.445646184,0.347560179,357558.7808,1.622445535,0.360422035,23387684.59,129436.4772,44593730.82,1,0.466570259,0.650361951,0.498743118,0.42681459,0.740912857,best_case_rcp45_2016-2045 (usual)
3033,20.77358996,67593169.23,67.59316923,0.721171391,0.551773788,1.580374713,0.278828609,271150.2496,1.785794901,0.377113888,19741494.72,129436.4772,40287210.39,0.986680294,0.444176646,0.612407821,0.427537999,0.432583729,0.721776211,best_case_rcp45_2016-2045 (usual)
3034,36.96536894,61892581.16,61.89258116,0.870014461,0.575965834,0.622659851,0.129985539,139528.3002,1.095547317,0.545471279,7060663.885,129436.4772,10107199.27,1,0.376446113,0.517184223,0.179418032,0.422486248,0.751504902,best_case_rcp45_2016-2045 (usual)
3035,27.97543114,70506913.9,70.5069139,0.757546693,0.594838872,1.115625502,0.242453307,210026.2952,0.827648489,0.425132357,6928347.201,129436.4772,17263225.42,0.988960176,0.492837088,0.666666667,0.567084491,0.451743003,0.732873324,best_case_rcp45_2016-2045 (usual)
3036,33.68939204,61744569.09,61.74456909,0.822115107,0.565870398,1.316048202,0.177884893,152729.9974,1.008387548,0.53671624,5212827.867,129436.4772,16412196.51,1,0.435432312,0.610851769,0.479341815,0.438440557,0.74333474,best_case_rcp45_2016-2045 (usual)
3037,80.61133289,50382680.32,50.38268032,0.913410913,0.579969769,0.751091353,0.086589087,52083.95077,0.701712229,0.655740952,3431058.952,129436.4772,3894019.283,1,0.494130979,0.666666667,0.542031546,0.502074626,0.754406474,best_case_rcp45_2016-2045 (usual)
3038,18.80668492,73821626.18,73.82162618,0.641820003,0.574467657,1.697769241,0.358179997,327107.2073,1.348986527,0.369246203,16677928.16,129436.4772,41572484.33,1,0.401461335,0.554732427,0.152555573,0.395763616,0.742181776,best_case_rcp45_2016-2045 (usual)
3039,35.68300362,53868728.53,53.86872853,0.853943088,0.575363304,0.771860412,0.146056912,125803.8914,0.67944597,0.65829318,5298315.457,129436.4772,6665428.389,1,0.469783844,0.663622218,0.473165417,0.452303329,0.754987084,best_case_rcp45_2016-2045 (usual)
3040,40.35558331,52654196.82,52.65419682,0.856610901,0.582336511,0.862999995,0.143389099,108729.6819,0.374688553,0.688956649,1364782.533,129436.4772,5112258.129,1,0.48942054,0.666666667,0.509340468,0.465839957,0.7715616,best_case_rcp45_2016-2045 (usual)
3041,36.12888746,59728934.05,59.72893405,0.879126267,0.565672126,0.687866659,0.120873733,137768.1828,1.347153932,0.53084858,7025354.518,129436.4772,12605500.82,0.994095628,0.5,0.666666667,0.620544901,0.473262812,0.740646097,best_case_rcp45_2016-2045 (usual)
3042,18.75477757,74198127.76,74.19812776,0.635813687,0.575876598,1.741474042,0.364186313,329685.4517,1.330112012,0.359867245,19843730.81,129436.4772,38554797,1,0.331582775,0.455077464,-0.196179758,0.35845016,0.73744771,best_case_rcp45_2016-2045 (usual)
3043,,47228634.41,47.22863441,1,0.601737899,0,0,0,0,0.683661586,0,129436.4772,0,1,0.5,0.666666667,0.83958869,0.56594484,0.857255814,best_case_rcp45_2016-2045 (usual)
3044,25.35145245,70538112.61,70.53811261,0.766053186,0.584896897,0.970522834,0.233946814,231867.427,1.031747409,0.404621813,9120064.917,129436.4772,19979104.08,0.987293618,0.391051011,0.544043028,0.37630174,0.413766028,0.722587003,best_case_rcp45_2016-2045 (usual)
3045,16.57592222,72779793.54,72.77979354,0.64509448,0.564429074,1.541652414,0.35490552,365891.1229,1.487174058,0.348099137,20645991.45,129436.4772,42984403.59,0.998028383,0.414603207,0.572187267,0.402639515,0.407310087,0.727614257,best_case_rcp45_2016-2045 (usual)
